soilmiosture,temperature,note,status,class
432,29.71,0,0,Very Dry
357,29.85,0,0,Very Dry
302,29.95,1,0,Dry
263,30.01,2,1,Wet
232,30.06,2,1,Wet
235,30.09,2,1,Wet
396,30.1,0,0,Very Dry
330,30.1,0,0,Very Dry
284,30.09,1,0,Dry
247,30.07,2,1,Wet
223,30.06,2,1,Wet
258,30.03,2,1,Wet
258,30,2,1,Wet
258,29.97,2,1,Wet
259,29.93,2,1,Wet
257,29.89,2,1,Wet
258,29.85,2,1,Wet
258,29.81,2,1,Wet
257,29.77,2,1,Wet
258,29.72,2,1,Wet
258,29.68,2,1,Wet
257,29.64,2,1,Wet
258,29.62,2,1,Wet
257,29.58,2,1,Wet
257,29.54,2,1,Wet
259,29.5,2,1,Wet
258,29.46,2,1,Wet
258,29.42,2,1,Wet
259,29.39,2,1,Wet
258,29.36,2,1,Wet
258,29.32,2,1,Wet
257,29.29,2,1,Wet
249,29.26,2,1,Wet
259,29.23,2,1,Wet
259,29.22,2,1,Wet
258,29.19,2,1,Wet
258,29.17,2,1,Wet
258,29.14,2,1,Wet
258,29.12,2,1,Wet
258,29.1,2,1,Wet
260,29.07,2,1,Wet
259,29.05,2,1,Wet
258,29.03,2,1,Wet
258,29.01,2,1,Wet
257,28.98,2,1,Wet
258,28.96,2,1,Wet
257,28.94,2,1,Wet
258,28.93,2,1,Wet
259,28.91,2,1,Wet
260,28.9,2,1,Wet
258,28.88,2,1,Wet
260,28.86,2,1,Wet
259,28.84,2,1,Wet
264,28.82,2,1,Wet
261,28.8,2,1,Wet
258,28.79,2,1,Wet
258,28.77,2,1,Wet
259,28.76,2,1,Wet
259,28.74,2,1,Wet
258,28.73,2,1,Wet
258,28.72,2,1,Wet
260,28.71,2,1,Wet
259,28.69,2,1,Wet
259,28.68,2,1,Wet
260,28.66,2,1,Wet
259,28.65,2,1,Wet
258,28.64,2,1,Wet
259,28.63,2,1,Wet
258,28.61,2,1,Wet
260,28.6,2,1,Wet
259,28.59,2,1,Wet
259,28.58,2,1,Wet
260,28.57,2,1,Wet
260,28.56,2,1,Wet
259,28.55,2,1,Wet
258,28.54,2,1,Wet
259,28.53,2,1,Wet
259,28.51,2,1,Wet
258,28.5,2,1,Wet
258,28.49,2,1,Wet
260,28.48,2,1,Wet
260,28.47,2,1,Wet
260,28.46,2,1,Wet
260,28.45,2,1,Wet
259,28.44,2,1,Wet
259,28.43,2,1,Wet
260,28.42,2,1,Wet
259,28.41,2,1,Wet
259,28.39,2,1,Wet
260,28.38,2,1,Wet
259,28.37,2,1,Wet
260,28.35,2,1,Wet
258,28.34,2,1,Wet
260,28.33,2,1,Wet
259,28.32,2,1,Wet
260,28.31,2,1,Wet
258,28.31,2,1,Wet
260,28.3,2,1,Wet
260,28.29,2,1,Wet
258,28.28,2,1,Wet
259,28.27,2,1,Wet
259,28.27,2,1,Wet
258,28.26,2,1,Wet
260,28.25,2,1,Wet
261,28.25,2,1,Wet
259,28.24,2,1,Wet
260,28.23,2,1,Wet
259,28.23,2,1,Wet
258,28.22,2,1,Wet
258,28.22,2,1,Wet
260,28.21,2,1,Wet
260,28.2,2,1,Wet
260,28.2,2,1,Wet
259,28.19,2,1,Wet
259,28.19,2,1,Wet
259,28.18,2,1,Wet
260,28.17,2,1,Wet
258,28.2,2,1,Wet
258,28.47,2,1,Wet
260,28.85,2,1,Wet
258,29.02,2,1,Wet
232,29.28,2,1,Wet
209,29.47,2,1,Wet
188,29.61,3,1,Very Wet
177,29.71,3,1,Very Wet
174,29.78,3,1,Very Wet
173,29.83,3,1,Very Wet
173,29.85,3,1,Very Wet
173,29.87,3,1,Very Wet
172,29.86,3,1,Very Wet
173,29.85,3,1,Very Wet
173,29.83,3,1,Very Wet
171,29.82,3,1,Very Wet
174,29.79,3,1,Very Wet
173,29.76,3,1,Very Wet
172,29.73,3,1,Very Wet
172,29.69,3,1,Very Wet
173,29.66,3,1,Very Wet
163,29.62,3,1,Very Wet
172,29.58,3,1,Very Wet
172,29.54,3,1,Very Wet
172,29.51,3,1,Very Wet
173,29.47,3,1,Very Wet
172,29.44,3,1,Very Wet
174,29.4,3,1,Very Wet
173,29.38,3,1,Very Wet
172,29.35,3,1,Very Wet
172,29.31,3,1,Very Wet
172,29.28,3,1,Very Wet
173,29.24,3,1,Very Wet
171,29.21,3,1,Very Wet
172,29.18,3,1,Very Wet
173,29.16,3,1,Very Wet
172,29.13,3,1,Very Wet
172,29.1,3,1,Very Wet
173,29.08,3,1,Very Wet
173,29.05,3,1,Very Wet
173,29.04,3,1,Very Wet
173,29.01,3,1,Very Wet
172,28.99,3,1,Very Wet
172,28.97,3,1,Very Wet
173,28.94,3,1,Very Wet
172,28.92,3,1,Very Wet
173,28.9,3,1,Very Wet
171,28.88,3,1,Very Wet
172,28.86,3,1,Very Wet
172,28.83,3,1,Very Wet
173,28.81,3,1,Very Wet
172,28.79,3,1,Very Wet
173,28.78,3,1,Very Wet
172,28.76,3,1,Very Wet
172,28.74,3,1,Very Wet
171,28.72,3,1,Very Wet
172,28.69,3,1,Very Wet
172,28.67,3,1,Very Wet
170,28.65,3,1,Very Wet
176,28.63,3,1,Very Wet
172,28.61,3,1,Very Wet
173,28.59,3,1,Very Wet
173,28.57,3,1,Very Wet
172,28.56,3,1,Very Wet
171,28.54,3,1,Very Wet
171,28.54,3,1,Very Wet
172,28.52,3,1,Very Wet
171,28.51,3,1,Very Wet
171,28.5,3,1,Very Wet
173,28.48,3,1,Very Wet
171,28.47,3,1,Very Wet
172,28.46,3,1,Very Wet
173,28.45,3,1,Very Wet
171,28.44,3,1,Very Wet
171,28.42,3,1,Very Wet
172,28.41,3,1,Very Wet
171,28.4,3,1,Very Wet
172,28.39,3,1,Very Wet
172,28.38,3,1,Very Wet
172,28.36,3,1,Very Wet
164,28.35,3,1,Very Wet
172,28.34,3,1,Very Wet
171,28.33,3,1,Very Wet
172,28.32,3,1,Very Wet
173,28.31,3,1,Very Wet
172,28.3,3,1,Very Wet
171,28.29,3,1,Very Wet
171,28.28,3,1,Very Wet
172,28.27,3,1,Very Wet
171,28.27,3,1,Very Wet
172,28.26,3,1,Very Wet
173,28.25,3,1,Very Wet
172,28.24,3,1,Very Wet
173,28.23,3,1,Very Wet
172,28.23,3,1,Very Wet
172,28.22,3,1,Very Wet
171,28.21,3,1,Very Wet
172,28.2,3,1,Very Wet
172,28.19,3,1,Very Wet
171,28.18,3,1,Very Wet
171,28.18,3,1,Very Wet
173,28.17,3,1,Very Wet
172,28.16,3,1,Very Wet
192,28.15,3,1,Very Wet
285,28.15,1,0,Dry
254,28.14,2,1,Wet
239,28.13,2,1,Wet
238,28.12,2,1,Wet
238,28.12,2,1,Wet
238,28.26,2,1,Wet
239,28.58,2,1,Wet
238,28.86,2,1,Wet
240,29.06,2,1,Wet
237,29.14,2,1,Wet
238,29.27,2,1,Wet
236,29.37,2,1,Wet
240,29.43,2,1,Wet
238,29.47,2,1,Wet
238,29.49,2,1,Wet
237,29.5,2,1,Wet
238,29.49,2,1,Wet
236,29.47,2,1,Wet
219,29.45,2,1,Wet
193,29.42,3,1,Very Wet
177,29.39,3,1,Very Wet
170,29.35,3,1,Very Wet
170,29.34,3,1,Very Wet
170,29.29,3,1,Very Wet
170,29.25,3,1,Very Wet
170,29.21,3,1,Very Wet
170,29.17,3,1,Very Wet
170,29.13,3,1,Very Wet
170,29.09,3,1,Very Wet
169,29.05,3,1,Very Wet
169,29.01,3,1,Very Wet
170,28.97,3,1,Very Wet
170,28.93,3,1,Very Wet
169,28.9,3,1,Very Wet
170,28.88,3,1,Very Wet
170,28.84,3,1,Very Wet
170,28.81,3,1,Very Wet
169,28.78,3,1,Very Wet
169,28.75,3,1,Very Wet
169,28.72,3,1,Very Wet
169,28.69,3,1,Very Wet
169,28.67,3,1,Very Wet
170,28.64,3,1,Very Wet
168,28.62,3,1,Very Wet
170,28.59,3,1,Very Wet
170,28.57,3,1,Very Wet
169,28.56,3,1,Very Wet
169,28.54,3,1,Very Wet
170,28.52,3,1,Very Wet
169,28.5,3,1,Very Wet
169,28.48,3,1,Very Wet
170,28.46,3,1,Very Wet
170,28.45,3,1,Very Wet
169,28.43,3,1,Very Wet
170,28.41,3,1,Very Wet
168,28.4,3,1,Very Wet
169,28.38,3,1,Very Wet
170,28.37,3,1,Very Wet
169,28.36,3,1,Very Wet
169,28.35,3,1,Very Wet
169,28.33,3,1,Very Wet
170,28.32,3,1,Very Wet
170,28.31,3,1,Very Wet
170,28.3,3,1,Very Wet
170,28.29,3,1,Very Wet
170,28.28,3,1,Very Wet
169,28.27,3,1,Very Wet
169,28.26,3,1,Very Wet
170,28.25,3,1,Very Wet
170,28.24,3,1,Very Wet
169,28.23,3,1,Very Wet
169,28.23,3,1,Very Wet
169,28.22,3,1,Very Wet
169,28.21,3,1,Very Wet
170,28.2,3,1,Very Wet
169,28.2,3,1,Very Wet
168,28.19,3,1,Very Wet
170,28.18,3,1,Very Wet
170,28.17,3,1,Very Wet
169,28.16,3,1,Very Wet
170,28.16,3,1,Very Wet
169,28.15,3,1,Very Wet
170,28.14,3,1,Very Wet
170,28.13,3,1,Very Wet
176,28.13,3,1,Very Wet
170,28.12,3,1,Very Wet
169,28.11,3,1,Very Wet
170,28.11,3,1,Very Wet
169,28.1,3,1,Very Wet
170,28.09,3,1,Very Wet
170,28.09,3,1,Very Wet
169,28.08,3,1,Very Wet
170,28.08,3,1,Very Wet
169,28.07,3,1,Very Wet
168,28.07,3,1,Very Wet
170,28.07,3,1,Very Wet
170,28.06,3,1,Very Wet
170,28.06,3,1,Very Wet
170,28.05,3,1,Very Wet
170,28.05,3,1,Very Wet
170,28.05,3,1,Very Wet
170,28.04,3,1,Very Wet
168,28.19,3,1,Very Wet
170,28.48,3,1,Very Wet
170,28.82,3,1,Very Wet
170,29.1,3,1,Very Wet
170,29.29,3,1,Very Wet
372,29.37,0,0,Very Dry
323,29.49,1,0,Dry
285,29.58,1,0,Dry
371,29.64,0,0,Very Dry
365,29.68,0,0,Very Dry
315,29.7,1,0,Dry
278,29.7,1,0,Dry
243,29.7,2,1,Wet
286,29.68,1,0,Dry
477,29.66,0,0,Very Dry
480,29.64,0,0,Very Dry
386,29.63,0,0,Very Dry
377,29.59,0,0,Very Dry
384,29.56,0,0,Very Dry
379,29.52,0,0,Very Dry
380,29.49,0,0,Very Dry
383,29.45,0,0,Very Dry
382,29.42,0,0,Very Dry
381,29.38,0,0,Very Dry
382,29.34,0,0,Very Dry
382,29.3,0,0,Very Dry
393,29.27,0,0,Very Dry
378,29.25,0,0,Very Dry
383,29.21,0,0,Very Dry
383,29.18,0,0,Very Dry
383,29.14,0,0,Very Dry
386,29.11,0,0,Very Dry
383,29.07,0,0,Very Dry
380,29.04,0,0,Very Dry
380,29.01,0,0,Very Dry
384,28.98,0,0,Very Dry
381,28.95,0,0,Very Dry
383,28.92,0,0,Very Dry
383,28.91,0,0,Very Dry
382,28.88,0,0,Very Dry
383,28.86,0,0,Very Dry
381,28.83,0,0,Very Dry
384,28.81,0,0,Very Dry
385,28.79,0,0,Very Dry
381,28.77,0,0,Very Dry
381,28.75,0,0,Very Dry
384,28.73,0,0,Very Dry
383,28.71,0,0,Very Dry
384,28.7,0,0,Very Dry
382,28.68,0,0,Very Dry
382,28.66,0,0,Very Dry
383,28.65,0,0,Very Dry
377,28.63,0,0,Very Dry
381,28.62,0,0,Very Dry
381,28.6,0,0,Very Dry
379,28.59,0,0,Very Dry
377,28.57,0,0,Very Dry
378,28.56,0,0,Very Dry
377,28.55,0,0,Very Dry
378,28.54,0,0,Very Dry
377,28.53,0,0,Very Dry
377,28.52,0,0,Very Dry
376,28.51,0,0,Very Dry
377,28.5,0,0,Very Dry
378,28.48,0,0,Very Dry
377,28.47,0,0,Very Dry
377,28.46,0,0,Very Dry
377,28.47,0,0,Very Dry
377,28.7,0,0,Very Dry
379,29.05,0,0,Very Dry
380,29.19,0,0,Very Dry
322,29.41,1,0,Dry
283,29.58,1,0,Dry
248,29.7,2,1,Wet
216,29.79,2,1,Wet
194,29.85,3,1,Very Wet
177,29.89,3,1,Very Wet
174,29.91,3,1,Very Wet
170,29.92,3,1,Very Wet
171,29.92,3,1,Very Wet
171,29.91,3,1,Very Wet
170,29.89,3,1,Very Wet
171,29.88,3,1,Very Wet
170,29.86,3,1,Very Wet
170,29.83,3,1,Very Wet
170,29.79,3,1,Very Wet
170,29.76,3,1,Very Wet
170,29.72,3,1,Very Wet
170,29.68,3,1,Very Wet
169,29.65,3,1,Very Wet
170,29.61,3,1,Very Wet
170,29.58,3,1,Very Wet
170,29.54,3,1,Very Wet
170,29.5,3,1,Very Wet
170,29.49,3,1,Very Wet
170,29.45,3,1,Very Wet
170,29.42,3,1,Very Wet
170,29.38,3,1,Very Wet
169,29.35,3,1,Very Wet
170,29.31,3,1,Very Wet
170,29.28,3,1,Very Wet
171,29.25,3,1,Very Wet
169,29.22,3,1,Very Wet
170,29.19,3,1,Very Wet
169,29.16,3,1,Very Wet
169,29.13,3,1,Very Wet
170,29.12,3,1,Very Wet
170,29.09,3,1,Very Wet
170,29.1,3,1,Very Wet
169,29.35,3,1,Very Wet
168,29.7,3,1,Very Wet
173,30.08,3,1,Very Wet
170,30.35,3,1,Very Wet
171,30.55,3,1,Very Wet
171,30.68,3,1,Very Wet
170,30.77,3,1,Very Wet
170,30.82,3,1,Very Wet
170,30.85,3,1,Very Wet
170,30.85,3,1,Very Wet
169,30.85,3,1,Very Wet
170,30.83,3,1,Very Wet
170,30.8,3,1,Very Wet
170,30.75,3,1,Very Wet
172,30.7,3,1,Very Wet
170,30.65,3,1,Very Wet
171,30.6,3,1,Very Wet
170,30.54,3,1,Very Wet
170,30.48,3,1,Very Wet
170,30.42,3,1,Very Wet
171,30.36,3,1,Very Wet
171,30.3,3,1,Very Wet
171,30.24,3,1,Very Wet
169,30.21,3,1,Very Wet
170,30.15,3,1,Very Wet
172,30.09,3,1,Very Wet
171,30.04,3,1,Very Wet
170,29.98,3,1,Very Wet
170,29.93,3,1,Very Wet
170,29.88,3,1,Very Wet
171,29.83,3,1,Very Wet
170,29.77,3,1,Very Wet
170,29.73,3,1,Very Wet
171,29.68,3,1,Very Wet
170,29.64,3,1,Very Wet
171,29.61,3,1,Very Wet
170,29.57,3,1,Very Wet
170,29.53,3,1,Very Wet
170,29.5,3,1,Very Wet
170,29.46,3,1,Very Wet
171,29.42,3,1,Very Wet
171,29.39,3,1,Very Wet
171,29.35,3,1,Very Wet
171,29.31,3,1,Very Wet
170,29.28,3,1,Very Wet
170,29.25,3,1,Very Wet
171,29.22,3,1,Very Wet
170,29.2,3,1,Very Wet
170,29.17,3,1,Very Wet
171,29.14,3,1,Very Wet
171,29.11,3,1,Very Wet
170,29.08,3,1,Very Wet
170,29.05,3,1,Very Wet
171,29.03,3,1,Very Wet
170,29.03,3,1,Very Wet
170,29.24,3,1,Very Wet
170,29.58,3,1,Very Wet
170,29.95,3,1,Very Wet
170,30.32,3,1,Very Wet
170,30.6,3,1,Very Wet
170,30.71,3,1,Very Wet
170,30.87,3,1,Very Wet
170,30.97,3,1,Very Wet
170,31.04,3,1,Very Wet
171,31.07,3,1,Very Wet
171,31.07,3,1,Very Wet
171,31.06,3,1,Very Wet
171,31.03,3,1,Very Wet
169,30.99,3,1,Very Wet
167,30.94,3,1,Very Wet
176,30.89,3,1,Very Wet
163,30.84,3,1,Very Wet
159,30.77,3,1,Very Wet
159,30.74,3,1,Very Wet
158,30.68,3,1,Very Wet
160,30.61,3,1,Very Wet
160,30.55,3,1,Very Wet
161,30.48,3,1,Very Wet
176,30.42,3,1,Very Wet
209,30.35,2,1,Wet
195,30.29,3,1,Very Wet
282,30.23,1,0,Dry
243,30.17,2,1,Wet
222,30.12,2,1,Wet
249,30.06,2,1,Wet
336,30.04,0,0,Very Dry
372,29.99,0,0,Very Dry
316,29.94,1,0,Dry
273,29.89,1,0,Dry
237,29.84,2,1,Wet
206,29.8,2,1,Wet
233,29.76,2,1,Wet
234,29.72,2,1,Wet
232,29.68,2,1,Wet
231,29.64,2,1,Wet
231,29.61,2,1,Wet
231,29.57,2,1,Wet
231,29.55,2,1,Wet
231,29.52,2,1,Wet
230,29.49,2,1,Wet
232,29.46,2,1,Wet
230,29.43,2,1,Wet
231,29.4,2,1,Wet
231,29.38,2,1,Wet
231,29.35,2,1,Wet
230,29.33,2,1,Wet
230,29.3,2,1,Wet
231,29.27,2,1,Wet
230,29.25,2,1,Wet
231,29.24,2,1,Wet
231,29.22,2,1,Wet
230,29.19,2,1,Wet
229,29.17,2,1,Wet
231,29.15,2,1,Wet
231,29.12,2,1,Wet
231,29.1,2,1,Wet
229,29.08,2,1,Wet
230,29.06,2,1,Wet
230,29.04,2,1,Wet
231,29.02,2,1,Wet
229,29,2,1,Wet
230,28.98,2,1,Wet
230,28.97,2,1,Wet
230,28.95,2,1,Wet
231,28.93,2,1,Wet
228,28.92,2,1,Wet
231,28.9,2,1,Wet
229,28.88,2,1,Wet
228,28.86,2,1,Wet
230,28.84,2,1,Wet
230,28.83,2,1,Wet
229,28.81,2,1,Wet
230,28.8,2,1,Wet
229,28.78,2,1,Wet
230,28.77,2,1,Wet
231,28.76,2,1,Wet
230,28.74,2,1,Wet
230,28.73,2,1,Wet
211,28.72,2,1,Wet
186,28.7,3,1,Very Wet
174,28.69,3,1,Very Wet
170,28.68,3,1,Very Wet
170,28.67,3,1,Very Wet
171,28.65,3,1,Very Wet
170,28.64,3,1,Very Wet
172,28.63,3,1,Very Wet
171,28.63,3,1,Very Wet
170,28.62,3,1,Very Wet
171,28.61,3,1,Very Wet
170,28.6,3,1,Very Wet
170,28.59,3,1,Very Wet
172,28.58,3,1,Very Wet
170,28.57,3,1,Very Wet
170,28.57,3,1,Very Wet
170,28.56,3,1,Very Wet
170,28.55,3,1,Very Wet
170,28.54,3,1,Very Wet
171,28.52,3,1,Very Wet
170,28.52,3,1,Very Wet
172,28.51,3,1,Very Wet
171,28.5,3,1,Very Wet
171,28.49,3,1,Very Wet
171,28.48,3,1,Very Wet
170,28.47,3,1,Very Wet
172,28.47,3,1,Very Wet
172,28.66,3,1,Very Wet
171,29.03,3,1,Very Wet
172,29.46,3,1,Very Wet
167,29.88,3,1,Very Wet
171,30.24,3,1,Very Wet
172,30.55,3,1,Very Wet
171,30.69,3,1,Very Wet
171,31,3,1,Very Wet
173,31.3,3,1,Very Wet
173,31.51,3,1,Very Wet
173,31.66,3,1,Very Wet
173,31.75,3,1,Very Wet
171,31.8,3,1,Very Wet
173,31.82,3,1,Very Wet
171,31.82,3,1,Very Wet
289,31.8,1,0,Dry
297,31.76,1,0,Dry
261,31.71,2,1,Wet
230,31.66,2,1,Wet
203,31.63,2,1,Wet
183,31.56,3,1,Very Wet
172,31.49,3,1,Very Wet
170,31.42,3,1,Very Wet
169,31.34,3,1,Very Wet
169,31.26,3,1,Very Wet
170,31.18,3,1,Very Wet
170,31.11,3,1,Very Wet
170,31.03,3,1,Very Wet
169,30.95,3,1,Very Wet
175,30.88,3,1,Very Wet
170,30.8,3,1,Very Wet
170,30.77,3,1,Very Wet
169,30.7,3,1,Very Wet
169,30.63,3,1,Very Wet
400,30.56,0,0,Very Dry
404,30.5,0,0,Very Dry
334,30.44,0,0,Very Dry
329,30.38,1,0,Dry
321,30.32,1,0,Dry
323,30.26,1,0,Dry
323,30.21,1,0,Dry
322,30.16,1,0,Dry
321,30.11,1,0,Dry
320,30.09,1,0,Dry
323,30.05,1,0,Dry
325,30,1,0,Dry
324,29.96,1,0,Dry
323,29.92,1,0,Dry
328,29.88,1,0,Dry
327,29.84,1,0,Dry
327,29.8,1,0,Dry
326,29.76,1,0,Dry
326,29.73,1,0,Dry
330,29.71,0,0,Very Dry
334,29.67,0,0,Very Dry
331,29.64,0,0,Very Dry
334,29.6,0,0,Very Dry
333,29.57,0,0,Very Dry
335,29.53,0,0,Very Dry
334,29.5,0,0,Very Dry
333,29.47,0,0,Very Dry
331,29.43,0,0,Very Dry
332,29.4,0,0,Very Dry
332,29.37,0,0,Very Dry
332,29.36,0,0,Very Dry
331,29.33,0,0,Very Dry
331,29.3,0,0,Very Dry
334,29.27,0,0,Very Dry
332,29.24,0,0,Very Dry
332,29.21,0,0,Very Dry
332,29.19,0,0,Very Dry
329,29.16,1,0,Dry
333,29.14,0,0,Very Dry
332,29.12,0,0,Very Dry
332,29.1,0,0,Very Dry
333,29.08,0,0,Very Dry
333,29.06,0,0,Very Dry
332,29.04,0,0,Very Dry
332,29.03,0,0,Very Dry
331,29.01,0,0,Very Dry
332,28.99,0,0,Very Dry
328,28.97,1,0,Dry
327,28.95,1,0,Dry
326,28.93,1,0,Dry
327,28.91,1,0,Dry
325,28.9,1,0,Dry
324,28.89,1,0,Dry
324,28.87,1,0,Dry
325,28.84,1,0,Dry
326,28.83,1,0,Dry
324,28.81,1,0,Dry
325,28.79,1,0,Dry
324,28.82,1,0,Dry
325,29.02,1,0,Dry
327,29.31,1,0,Dry
327,29.64,1,0,Dry
328,29.81,1,0,Dry
335,30.12,0,0,Very Dry
309,30.35,1,0,Dry
264,30.52,2,1,Wet
234,30.65,2,1,Wet
209,30.75,2,1,Wet
188,30.81,3,1,Very Wet
174,30.85,3,1,Very Wet
170,30.87,3,1,Very Wet
168,30.87,3,1,Very Wet
170,30.86,3,1,Very Wet
167,30.84,3,1,Very Wet
161,30.82,3,1,Very Wet
